시장명,시장유형,소재지도로명주소,시장개설주기,소재지지번주소,점포수,사용가능상품권,공중화장실 보유여부,주차장 보유여부,개설년도,데이터기준일자
중앙시장,상설,강원도 강릉시 금성로 21,상설,강원 강릉시 성남동 50번지 ,229,온누리상품권,Y,Y,1980,2015-12-31
강릉동부시장,상설,강원도 강릉시 옥천로 48,상설,강원 강릉시 옥천동 223번지 ,91,,Y,N,2014,2015-12-31
강릉서부시장,상설,강원도 강릉시 임영로 155번길 6,상설,강원 강릉시 용강동 29번지 ,109,온누리상품권,Y,Y,1977,2015-12-31
주문진종합시장,상설+정기,강원도 강릉시 주문진읍 구 시장길,5일,강원 강릉시 주문진읍 주문리 321-52번지 ,77,온누리상품권,Y,Y,2006,2015-12-31
주문진수산시장,상설,강원도 강릉시 주문진읍 시장1길 4-1,상설,강원 강릉시 주문진읍 주문리 312-91번지 ,42,온누리상품권,Y,Y,2007,2015-12-31
주문진건어물시장,상설,강원도 강릉시 주문진읍 주문리 해안로 1740,상설,강원 강릉시 주문진읍 주문리 312-56번지 ,94,온누리상품권,Y,Y,2008,2015-12-31
강릉성남시장,상설,강원도 강릉시 중앙시장길 16,상설,강원 강릉시 성남동 53-8번지 ,125,온누리상품권,Y,Y,2008,2015-12-31
간성시장,상설+정기,강원도 고성군 간성시장 2길 11-1,5일,강원 고성군 간성읍 신안리 262번지 ,89,온누리상품권,Y,Y,2003,2015-12-31
거진시장,상설+정기,강원도 고성군 거진읍 거진시장길 15,5일,강원 고성군 거진읍 거진리 272번지 ,51,온누리상품권,Y,Y,2010,2015-12-31
북평민속시장,상설+정기,강원도 동해시 북평 오일장길 32,5일,강원 동해시 구미동 497-11번지 일원 ,130,온누리상품권,Y,Y,2013,2015-12-31
동쪽바다중앙시장,상설,강원도 동해시 중앙시장길 12,상설,강원 동해시 발한동 12-2번지 일원 ,242,온누리상품권,Y,Y,2006,2015-12-31
동해남부재래시장,상설,강원도 동해시 청운1길 29,상설,강원 동해시 동희동 442번지 ,227,온누리상품권,Y,Y,2011,2015-12-31
도계중앙시장,상설,강원도 삼척시 도계읍 도계로 4길 20,상설,강원 삼척시 도계읍 도계리 390-1,15,,Y,Y,1965,2015-12-31
도계전두시장,상설,강원도 삼척시 도계읍 전두리 83번지,상설,강원 삼척시 도계읍 전두리 83-2,76,온누리상품권,Y,Y,2004,2015-12-31
삼척번개시장,상설,강원도 삼척시 중앙로 10,상설,강원 삼척시 사직동 50-2,10,온누리상품권,Y,N,2009,2015-12-31
삼척중앙시장,상설+정기,강원도 삼척시 진주로 12-21,5일,강원 삼척시 남양동 55-4,299,온누리상품권,Y,Y,2014,2015-12-31
속초중앙전통시장,상설,강원도 속초시 중앙로 129번길 33,상설,강원 속초시 중앙동 493-3 외 127번지 ,378,온누리상품권,Y,Y,2006,2015-12-31
속초종합중앙시장,상설,강원도 속초시 중앙로 471-4,상설,강원 속초시 중앙동 471-4번지 ,277,온누리상품권,Y,Y,2006,2015-12-31
양구중앙시장,상설+정기,강원도 양구군 양구읍 중앙길 68,5일,강원 양구군 양구읍 상리 235번지 ,59,온누리상품권,Y,Y,2008,2015-12-31
양양전통시장,상설+정기,강원도 양양군 양양읍 남문로 5길 4-1,5일,강원 양양군 양양읍 남문리 57-1번지 ,66,온누리상품권,Y,Y,2012,2015-12-31
서부공설시장,상설,강원도 영월군 영월읍 서부 시장길 8-1,상설,강원 영월군 영월읍 하송리 5-11번지 일원 ,48,온누리상품권,Y,Y,2005,2015-12-31
영월서부시장,상설,강원도 영월군 영월읍 중앙로 30-1,상설,강원 영월군 영월읍 영흥리 947-57번지 일원 ,18,온누리상품권,Y,Y,2005,2015-12-31
영월종합상가시장,상설,강원도 영월군 영월읍 하송안길 8-9,상설,강원 영월군 영월읍 하송리 11-1번지 ,117,온누리상품권,Y,Y,1988,2015-12-31
원주남부시장,상설,강원도 원주시 명륜동 26번지,상설,강원 원주시 명륜1동 26번지 ,195,온누리상품권,Y,Y,1977,2015-12-31
문막시장,상설+정기,강원도 원주시 문막읍 문막시장 1길 52-10,5일,강원 원주시 문막읍 문막리 240-1번지 ,89,온누리상품권,Y,N,2009,2015-12-31
중앙시민전통시장,상설,강원도 원주시 자유 시장길 26,상설,강원 원주시 중앙동 42-3번지 ,97,온누리상품권,Y,Y,1970,2015-12-31
자유시장,상설,강원도 원주시 중앙 시장길,상설,강원 원주시 중앙동 57번지 ,480,온누리상품권,Y,Y,2004,2015-12-31
중앙시장,상설,강원도 원주시 중앙시장길 6,상설,강원 원주시 중앙동 62-55번지 ,280,온누리상품권,Y,Y,1970,2015-12-31
북원상가시장,상설,강원도 원주시 태장 2동 1379-23,상설,강원 원주시 태장동 1379-4번지 외 ,51,온누리상품권,Y,Y,2007,2015-12-31
민속풍물시장,상설+정기,강원도 원주시 평원동 풍물시장길 30,5일,강원 원주시 평원동 134-1번지 ,120,온누리상품권,Y,N,2013,2015-12-31
원통시장,상설+정기,강원도 인제군 북면 원통리 647-5,5일,강원 인제군 북면 원통리 647-6번지 ,32,온누리상품권,Y,N,2009,2015-12-31
인제시장,상설+정기,강원도 인제군 인제읍 비봉로 6번길 10,5일,강원 인제군 인제읍 296-2번지 ,51,온누리상품권,N,N,2009,2015-12-31
고한시장,상설+정기,강원도 정선군 고한읍 고한리 430,5일,강원 정선군 고한읍 고한리 62-430번지 ,84,온누리상품권,Y,Y,1967,2015-12-31
사북시장,상설+정기,강원도 정선군 사북읍 사북2길 6-1,5일,강원 정선군 사북읍 사북리 366-59번지 ,66,온누리상품권,Y,Y,2006,2015-12-31
"임계시장(구,송계시장)",정기,강원도 정선군 임계면 송계5길 10,5일,강원 정선군 임계면 송계5길 10 ,83,,Y,Y,2013,2015-12-31
정선아리랑시장,상설+정기,강원도 정선군 정선읍,5일,강원 정선군 정선읍 봉양리 349-20번지 ,151,온누리상품권,Y,N,2006,2015-12-31
신철원시장,상설+정기,강원도 철원군 갈말읍 삼부연로 18번길 8-3,5일,강원 철원군 갈말읍 신철원리 679번지 외  ,25,온누리상품권,Y,Y,1990,2015-12-31
동송전통시장,상설+정기,강원도 철원군 동송읍 이평 680-1,5일,강원 철원군 동송읍 이평 4리 678-7번지 ,92,온누리상품권,Y,Y,2012,2015-12-31
동송시장,상설+정기,강원도 철원군 동송읍 이평4리,5일,강원 철원군 동송읍 이평리 680-1번지 ,86,온누리상품권,Y,Y,1990,2015-12-31
외수시장,상설+정기,강원도 철원군 서면 와수로 184번길 6-3,5일,강원 철원군 서면 와수리 1171-21번지 ,55,온누리상품권,Y,Y,1978,2015-12-31
춘천남부시장,상설,강원도 춘천시 공지로 367,상설,강원 춘천시 효자1동 684-11번지 ,34,온누리상품권,Y,Y,1982,2015-12-31
춘천동부시장,상설,강원도 춘천시 동부시장길8,상설,강원 춘천시 운교동 183번지 ,76,온누리상품권,Y,Y,1988,2015-12-31
춘천서부시장,상설,강원도 춘천시 서부대성로 12,상설,강원 춘천시 소양로2가 172-1번지 ,105,온누리상품권,Y,Y,2003,2015-12-31
춘천번개시장,상설,강원도 춘천시 소양로 1가 번개 시장길,상설,강원 춘천시 소양로 1가,61,온누리상품권,Y,N,2014,2015-12-31
제일종합시장,상설,강원도 춘천시 약사고개길 13,상설,강원 춘천시 죽림동 32번지 ,288,온누리상품권,Y,Y,1984,2015-12-31
춘천풍물시장,상설+정기,강원도 춘천시 영서로 2352-28,5일,강원 춘천시 온의동 29-3번지 일원 ,118,온누리상품권,Y,Y,2010,2015-12-31
춘천중앙시장,상설,강원도 춘천시 중앙로2가 81-3,상설,강원 춘천시 중앙로2가 42-18번지 ,228,온누리상품권,Y,N,1962,2015-12-31
후평일단지시장,상설,강원도 춘천시 효평길 104(후평동),상설,강원 춘천시 후평2동 692-24번지 일원 ,89,온누리상품권,Y,Y,2009,2015-12-31
황지자유시장,상설,강원도 태백시 시장안1길 18-1,상설,강원 태백시 황지동 38번지 ,118,온누리상품권,Y,Y,1956,2015-12-31
장성중앙시장,상설,강원도 태백시 장성1길 190,상설,강원 태백시 장성동 159-2번지 ,52,온누리상품권,Y,Y,1973,2015-12-31
대화전통시장,상설+정기,강원도 평창군 대화면 대화시장 2길 6,5일,강원 평창군 대화면 대화리 1001-5번지 외 ,49,,Y,Y,2004,2015-12-31
봉평전통시장,상설+정기,강원도 평창군 봉평면 허생원 장터길 15,5일,강원 평창군 봉평면 창동리 353-1번지 외 ,59,온누리상품권,Y,N,1976,2015-12-31
진부전통시장,상설+정기,강원도 평창군 진부면 진부 중앙로 61,5일,강원 평창군 진부면 하진부리 138-1번지 외 ,81,온누리상품권,Y,Y,2009,2015-12-31
"평창올림픽시장(구,평창전통시장)",상설+정기,강원도 평창군 평창읍,5일,강원 평창군 평창읍 하리 139-1 ,69,온누리상품권,Y,Y,2014,2015-12-31
홍천중앙시장,상설+정기,강원도 홍천군 홍천읍 신장대리 5-3,5일,강원 홍천군 홍천읍 신장대리 5-3번지 ,102,온누리상품권,Y,N,2005,2015-12-31
