"통계분류(1)",통계분류(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"통계분류(1)",통계분류(2),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"전체",소계,80.4,86.4,78.9,82.3,82.8,82.3,85.6,83.1,86,87.9,85.9,87.8,87.2,87.7,85.9,88.3,91.2
"성별",남자,79.8,85.1,76,82.4,81,81.5,84.3,78.4,86,88.1,85,87.4,88,87.8,85.4,88.2,91.1
"성별",여자,81,87.7,81,82.3,85.4,83.3,87.2,85.8,86,87.7,86.7,88.2,86.4,87.5,86.4,88.4,91.3
"연령",15~19세,77.3,83.6,76.7,74.9,92.4,69,89.1,86,83.1,88.5,77.5,91.3,87.1,85.6,81.1,86,96.9
"연령",20대,80,87.3,76,82,73.6,79.4,88.5,89.8,86.4,88.8,86.2,88.3,87.5,89.1,85.5,89.4,91.3
"연령",30대,78.3,85.4,78.3,83.5,86.1,82.8,86.6,80.1,85.4,87.6,82.7,86.6,88.6,86.7,86.1,88.1,90.4
"연령",40대,82.3,87.4,81.5,82.9,84.2,83.2,83.4,82.4,85.4,87,86,88.1,86.6,87.9,86.3,87.3,92.1
"연령",50대,80.9,86.2,81.7,83.1,80,86.5,85.3,71,86.8,88.5,87.4,88.9,86.3,88.3,86.8,89.2,90.1
"연령",60대,82.7,85.5,77.6,80.4,87.1,81.6,84.9,88.2,86.8,88.2,87.1,87.1,87.3,87.3,85.9,88.7,92.3
"연령",70세 이상,87.1,86.8,80,79.4,84.4,79.2,84.6,85,86.7,84.2,87.4,85.3,86.3,84.7,84,84.8,90.9
"직업",임금봉급근로자,79.6,86.7,78.9,81.8,81.8,82.1,85.9,81.1,85.7,87.9,86.3,87.9,86.5,87.7,87,88.3,90.6
"직업",고용원있는사업주,76.1,82.4,93.5,82.6,77.5,79.9,92.6,-,87.7,87.4,94.1,90.7,87.3,85,88.7,88.5,97
"직업",고용원없는자영업자,83.7,88.1,78.4,83,85.7,84.8,83.7,80.2,85.9,87.3,83.5,89.3,87.8,87.6,84.3,88.5,92.7
"직업",무급가족 종사자,81.7,91.5,78.3,83.9,82.8,74.5,100,25,81.2,85.6,84.8,88.5,86.7,84.3,78,90.9,98.9
"직업",전업주부,84.8,84.5,80.5,83.7,85.3,84.3,84.2,86.1,87.8,88.6,87.6,88,89,87.4,87,87.4,90.5
"직업",학생,78.2,85.2,78.7,81,89,75.9,87.6,87.3,84.8,90.2,83.1,83.9,86.4,89.8,84.7,89,91.3
"직업",기타,83.3,87.1,74.4,86.2,63.8,93.1,85.2,91,85.9,85.3,82.8,81.6,93.2,86.9,81.2,86,90.7
"학력",초졸 이하,92.3,85.2,82.9,79.2,81.9,72,84.9,-,78.1,77.7,94.3,85.6,87.2,81.9,82.7,86.5,100
"학력",중학교,82.1,79.5,78.9,75,91.5,88,85.5,84.7,86.9,85,87,85.7,87.9,85.9,81.5,85,92.9
"학력",고등학교,81.1,86.8,79.6,81.8,84.1,82.6,84.6,85.4,85.8,87,86.8,88.8,85.9,86.1,86.1,88.9,91.1
"학력",대학교이상,80,86.5,78.1,82.8,81.3,82,86.2,82,86.1,88.4,84.8,87.4,87.8,89,86.2,88.2,91.2
"가구원수",1인,80.2,86.1,78.2,82,85.4,83.1,87.3,81.7,84.3,86.4,86,84.2,88.1,86.1,85.4,86.9,92.9
"가구원수",2인,81.2,87.9,81.1,83.1,85.5,85.8,83.6,82.3,86.4,87.7,84.1,87.6,88,86.6,85.4,88.4,90.9
"가구원수",3인이상,80.3,86.1,78,82.2,80.7,81.1,85.9,83.6,86.2,88.1,86.6,88.6,86.6,88.4,86.2,88.5,91
"가구소득",100만원 미만,70.5,76.4,80.4,85.1,88.1,89.9,91.4,75.4,83,87.6,90.1,83.7,89.1,85.2,83.5,84.8,88.2
"가구소득",100~200만원 미만,82.5,92.3,77.4,78.3,87.1,72.6,85.9,90.2,87.6,87.8,88.7,87,86.5,87.2,83.8,90,94.6
"가구소득",200~300만원 미만,79.8,87.8,79.9,83.3,80.2,83.3,85.3,85.3,85.6,87.7,80.5,84.2,86,84.1,84.4,87.8,91.2
"가구소득",300~400만원 미만,82.8,86.2,77.7,83.8,86.2,81.7,84.9,83.7,85.4,87.7,84.7,87.5,87.6,86.7,84,87.1,92.2
"가구소득",400~500만원 미만,83.5,85.8,74.7,85.3,75.7,80.7,82.5,83.9,86.7,84.7,86.1,89.8,87.2,88.5,85.9,88.2,90.8
"가구소득",500~600만원 미만,77.2,85.1,81.3,80.2,84.3,85.7,87.1,81.8,84.4,88.3,85.2,88.2,88,88.4,86.4,89.5,90.4
"가구소득",600만원 이상,79.9,87.3,83.7,81.4,82.3,82,87.8,81.5,87.3,89.4,90.1,88.6,86.7,90.2,89.2,89.1,91.4
